 ---- New Tickets (= "Darwin")---- 
ihAelAcum1	Darwin	None	2021-05-12T11:24:55.000+0100	Open
iyDolMedi1	Darwin	In progress	2021-05-11T20:46:56.000+0100	Decontamination
iyEctLitu1	Darwin	In progress	2021-05-11T20:46:55.000+0100	geval analysis
iyCerRyby1	Darwin	In progress	2021-05-11T20:46:53.000+0100	Decontamination
iyAthRosa1	Darwin	In progress	2021-05-11T20:46:52.000+0100	Decontamination
ilMytFerr1	Darwin	In progress	2021-05-11T20:46:51.000+0100	geval analysis
ilCarQuer1	Darwin	In progress	2021-05-11T20:46:20.000+0100	geval analysis
ilTinSemi1	Darwin	In progress	2021-05-11T20:45:17.000+0100	geval analysis
 ---- Inprogress Tickets (= "Darwin")---- 
iyDolMedi1	Darwin	In progress	2021-05-14T09:43:03.000+0100	Decontamination
iyEctLitu1	Darwin	In progress	2021-05-14T10:58:53.000+0100	geval analysis
iyCerRyby1	Darwin	In progress	2021-05-13T19:02:51.000+0100	Decontamination
iyAthRosa1	Darwin	In progress	2021-05-13T19:06:05.000+0100	Decontamination
ilMytFerr1	Darwin	In progress	2021-05-14T13:25:41.000+0100	geval analysis
ilCarQuer1	Darwin	In progress	2021-05-14T13:25:51.000+0100	geval analysis
ilTinSemi1	Darwin	In progress	2021-05-14T13:26:05.000+0100	geval analysis
ilCydSple1	Darwin	In progress	2021-05-11T09:52:45.000+0100	geval analysis
ilAmpBerb1	Darwin	In progress	2021-05-11T09:52:54.000+0100	geval analysis
idChrBici1	Darwin	In progress	2021-05-10T18:50:42.000+0100	Decontamination
ilParStra1	Darwin	In progress	2021-05-08T11:34:57.000+0100	curation
ilAcrAcer1	Darwin	In progress	2021-05-06T11:13:14.000+0100	Decontamination
ilBemIchn1	Darwin	In progress	2021-05-13T11:47:38.000+0100	curation
icOcyOlen1	Darwin	In progress	2021-04-30T19:36:11.000+0100	Decontamination
iyNysSpin1	Darwin	In progress	2021-05-13T09:16:32.000+0100	curation
ilChrCulm1	Darwin	In progress	2021-05-12T14:16:58.000+0100	curation
tzMemMemb1	Darwin	In progress	2021-05-05T20:23:00.000+0100	Decontamination
ilNocJant1	Darwin	In progress	2021-05-14T12:22:36.000+0100	In Submission
